case,mode_set,z_type,w_type,residual_before,residual_after,improvement,fe_fraction_after,aux_fraction_after,petrov_condition,regularization,omega,notes
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe,9.601334814717081e-07,9.601334799251647e-07,1.0000000016107589,0.9660035494906573,0.2585288037558897,1.0000000000000002,0.0,0.01,direct dense coarse solve; left lift p=-P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.61057339760557e-07,0.99903870638033,0.9660340840052478,0.2584146832905243,1.0000000000000004,0.0,1.0,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.602172390477274e-07,0.9999127722638032,0.9660102734553022,0.25850367807598496,1.0000000000000004,0.0,0.3,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.601429704440839e-07,0.9999901171256075,0.9660055750688534,0.2585212349805986,1.0000000000000004,0.0,0.1,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.601343928810516e-07,0.9999990507481554,0.9660041528773878,0.25852654916592305,1.0000000000000004,0.0,0.03,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_y,pfe_lift,W_adjoint_pfe_sign_flip,9.601334814717081e-07,9.601336009610544e-07,0.9999998755492505,0.9660037677272271,0.25852798830455753,1.0000000000000004,0.0,0.01,direct dense coarse solve; left lift p=+P_FE^-*D_j^H approximated by same-H1 AMS
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.606989064853738e-07,0.9994114440957008,0.9660544172766011,0.2583386592447336,1.1160132239426945,0.0,1.0,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.602595153928434e-07,0.9998687501460647,0.9660178301753564,0.25847543748545293,1.1160132239426945,0.0,0.3,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.601713390509e-07,0.9999605720587024,0.9660082334562283,0.2585113012902472,1.1160132239426945,0.0,0.1,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.60144402554681e-07,0.9999886255828354,0.9660049650512454,0.2585235143973214,1.1160132239426945,0.0,0.03,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_aux_residual,9.601334814717081e-07,9.601370802892698e-07,0.9999962517669242,0.9660040398480917,0.25852697150813253,1.1160132239426945,0.0,0.01,direct dense coarse solve; selected auxiliary coordinate test basis
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ,9.601334814717081e-07,9.587861139326023e-07,1.0014052847861756,0.9658324656708805,0.25916722064355946,1.0389200862419712,0.0,1.0,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ,9.601334814717081e-07,9.594465604486539e-07,1.000715955480348,0.9659442926802635,0.25875011775538426,1.0389200862419712,0.0,0.3,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ,9.601334814717081e-07,9.598776271734395e-07,1.0002665488714662,0.9659830711731879,0.25860530970344753,1.0389200862419712,0.0,0.1,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ,9.601334814717081e-07,9.600539046249324e-07,1.0000828878945154,0.9659973485825344,0.25855197259257884,1.0389200862419712,0.0,0.03,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ,9.601334814717081e-07,9.60106687297053e-07,1.0000279074971665,0.9660014945841868,0.25853648187657596,1.0389200862419712,0.0,0.01,direct dense coarse solve; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.587861139326023e-07,1.0014052847861756,0.9658324656708805,0.25916722064355946,1.0192742939179673,0.0,1.0,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
task014a_tiny10_stage4_block_grating_p1_h5,top_bottom_y,diag_lift,W_AZ_normalized,9.601334814717081e-07,9.594465604486539e-07,1.000715955480348,0.9659442926802635,0.25875011775538426,1.0192742939179673,0.0,0.3,direct dense coarse solve; unit-column-normalized; least-squares Petrov path W=AZ
